WORD_ID,GAELIC,ENGLISH,OTHER,NON_NATIVE,INFO,AUDIO,LATIN,GAELIC_WORD_GENDER,PLURALS,WORD_CATEGORY
78,bealaidh,broom,,,,bealaidh.mp3,Cytisus scoparius,M,bealaidhean,8
79,bealaidh Frangach,laburnum,bealaidh Sasannach <em>m</em>,,"Literally 'French broom', likewise bealaidh Sasannach translates as 'English broom'",bealaidh-frangach.mp3,Laburnum spp.,M,"bealaidhean Frangach, bealaidhean Sasannach",8
80,beàrnan-Brìde,dandelion,,,Used to create magenta coloured dye. The Gaelic means 'the little gapped one of St Brigid'.,,Taraxacum officinale agg.,M,beàrnain-Brìde,8
81,beathachadh,nutrient,,,,beathachadh.mp3,,M,beathachadh,
83,peileag,common porpoise,cana <em>m</em>,,,,Phocoena phocoena,F,"peileagan, canaichean",9
84,beith,birch,,,The Gaelic alphabet contains 18 letters each of which was traditionally linked with a tree name. Beithe represents the letter 'b' in Gaelic alphabet. ,beith.mp3,Betula spp.,F,,3
85,muir-tiachd,jellyfish,,,,,Cnidaria (Phylum) spp.,M,muir-tiachdan,7
86,spideag,nightingale,beul-binn <em>m</em>,,Beul-binn literally translates as 'melodic mouth'.,beul binn.mp3,Luscinia megarhynchos,F,"spideagan, beòil-bhinn",4
88,dòbhran,otter,biast-dhubh <em>f</em>,,"Biast-dhubh translates literally as 'black beast'; dòbhran is based on an archaic word for water, dobhar.",dobhran.mp3,Lutra lutra,M,"dòbhrain, biastan-dubha",9
89,gealan beinne,twite,riabhag mhonaidh <em>f</em>,,,,Carduelis flavirostris,M,"gealain bheinne, riabhagan monaidh",4
90,bile-bhuidhe,corn marigold,,,,bile-bhuidhe.mp3,Glebionis segetum,F,,8
92,biorra-crùidein,kingfisher,"iasgair an rìgh <em>m</em>, murlach <em>m</em>",,,,Alcedo atthis,M,"biorra-crùidein, iasgairean an rìgh, murlaichean",4
93,bith-eòlas,biology,,,,bith-eolais.mp3,,M,,
94,bith-iomadachd,biodiversity,,,,,,F,,
96,boc,buck,,,can be goat or male roe-deer,boc.mp3,Cervidae (Family) spp.,M,buic,9
97,boc-earba,roe buck,,,,boc earba.mp3,Capreolus capreolus,M,buic-earba,
98,bodach oidhche,tawny owl (male),,,Usually cailleach-oidhche as few people will tell the genders apart.,bodach-oidhche.mp3,Strix aluco,M,bodaich oidhche,4
99,luatharan,common sandpiper,"bodhag <em>f</em>, sgrailleag <em>f</em>",,,,Actitis hypoleucos,M,"luatharanan, bodhagan, sgrailleagan",4
100,fearann-mònach,blanket bog,,,,,,M,fearainn-mhònach,
101,boiteag,worm,"cnuimh <em>f</em>, durrag <em>f</em>",,,boiteag.mp3,Eumetazoa (subkingdom) spp.,F,"cnuimhean, durragan",12
102,dall-chnuimh,slow-worm,"nathair-challtainn <em>f</em>, boiteag-shlaodach <em>f</em>",,,botag shlaodach.mp3,Anguis fragilis,F,"dall-chnuimhean, nathraichean-calltainn, boiteagan-slaodach",11
103,Bòrd Iasgaich an Spè,Spey Fishery Board,,,,,,M,,2
104,bradan,Atlantic salmon,,,For all fish search 'fish'.,bradan.mp3,Salmo salar,M,bradain,7
105,bratag (leòmann ìmpire),caterpillar (emperor moth),burras (leòman ìmpire) <em>m</em>,,,,,F,"bratagan (leòmann ìmpire), burrais (leòman ìmpire)",12
106,breacan baintighearna,grey wagtail,breacan an uillt <em>m</em>,,,breacan baintighearna.mp3,Motacilla cinerea,M,"breacain bhaintighearna, breacain an uillt",4
107,breacan glas,pied flycatcher,,,,breacan glas.mp3,Ficedula hypoleuca,M,breacain ghlais,4
108,breacan sgiobalt,spotted flycatcher,glac nan cuileag <em>m</em>,,,breacan sgiobalt.mp3,Muscicapa striata,M,"breacain sgiobalta, glacan nan cuileag",4
109,breacan-beithe,chaffinch,,,The Gaelic name means 'the bird of the birch tree'.,,Fringilla coelebs,M,breacain-bheithe,4
110,pioghaid,magpie,,,Pioghaid is also commonly used as term of contempt for naughty youngsters! And it's also used for parrots.,pioghaid.mp3,Pica pica,F,pioghaidean,
112,fionnan-feòir,grasshopper,brobhadan <em>m</em>,,,,Orthoptera (Order) spp.,M,"fionnain-fheòir, brobhadain",12
113,broc,badger,strianach <em>m</em>,,"The Ibrox area derives from àth-bhroc, 'badgers' ford'.",broc.mp3,Meles meles,M,"bruic, strianaichean",9
115,bruach,river bank,,,,,,F,,5
116,brù-dhearg,robin,,,,bru dhearg.mp3,Erithacus rubecula,M,brùthan-dearga,
117,brù-gheal,wheatear,clacharan,,The Gaelic name means 'white belly'.,bru-geal.mp3,Oenanthe oenanthe,M,brùthan-geala,4
118,luibh,weed,,,Can also mean herb. ,,,M,luibhean,
121,corra-ghrian,bittern,buathan <em>m</em>,,,,Botaurus stellaris,F,"corrachan-grian, buathain",4
122,buidheag an t-samhraidh,buttercup,,,The small yellow one of the summer,,Ranunculus spp.,F,buidheagan an t-samhraidh,
123,buidheag-bhealaidh,yellowhammer,,,According to Dwelly's Gaelic dictionary 'A beautiful bird but of very evil repute in Highland superstitions.',buidheag.mp3,Emberiza citrinella,F,buidheagan-bealaidh,4
125,Buidheann Dìon Àrainneachd na h-Alba,Scottish Environment Protection Agency (SEPA),,,,,,,,2
129,buthaid,puffin,"fachach <em>m</em>, buthaigre <em>f</em>",,,"buthaid.mp3, fachach.mp3",Fratercula arctica,F,"buthaidean, fachaich, buthaigrean",4
130,caclach,arctic skua,,,,caclach.mp3,Stercorarius parasiticus,M,caclaich,4
131,cailleach bheag an earbaill,long tailed tit,,,The name means 'the small old woman with the tail'.,cailleach bheag an earbaill.mp3,Aegithalos caudatus,F,cailleachan beaga an earbaill,4
132,cailleach oidhche,tawny owl (female),,,Tha name translates as 'the old woman of the night'.,cailleach oidhche.mp3,Strix aluco,F,cailleachan oidhche,4
133,cailleachag cheann-gorm,blue tit,cailleach ghorm <em>f</em>,,The name translates as 'small old woman with the blue head'.,cailleag cheann ghorm.mp3,Cyanistes caeruleus,F,"cailleachagan ceann-gorma, cailleachan gorma",4
134,comhachag mhòr,eagle owl,cailleach-oidhche mhòr <em>f</em>,,The Gaelic name means 'the big old woman of the night'.,cailleach oidhche mhor.mp3,Bubo bubo,F,"comhachagan mòra, cailleachan-oidhche mhòra",4
136,càl na mara,sea kale,praiseach-tràgha <em>f</em> ,,,cal na mara.mp3,Crambe maritima,M,,
137,calltainn,hazel,coll,,"The Gaelic alphabet contains 18 letters, each of which was traditionally linked with a tree name. The older name 'coll' represents the letter 'c' in the Gaelic alphabet.","calltainn.mp3, coll.mp3",Corylus avellana,M,,3
138,calman,dove,,,,calman.mp3,Columbidae (Family) spp.,M,calmain,4
139,calman-coille,wood pigeon,,,,calman coille.mp3,Columba palumbus,M,calmain-choille,4
140,cam-ghob,crossbill,,,The Gaelic name means 'squinty beak'.,,Loxia curvirostra,M,cam-ghoban,4
141,cam glas,redshank,gobharrta <em>m</em>,,,cam glas.mp3,Tringa totanus,F,"cam glasan, gobharrtan",
142,canach,bog cotton,,,Given by some as the badge of Clan Sutherland.,canach.mp3,Eriophorum spp.,M,,8
143,gocan cìreanach,waxwing,gocan cìreanach,,The Gaelic names means 'Red mutterer'.,,Bombycilla garrulus,M,gocannan cìreanach,4
145,caorann,rowan,,,,caorann.mp3,Sorbus aucuparia,M,,3
146,capall-coille,capercaillie,,,"The Gaelic name means 'the horse or cock of the wood'. As with a lot of the Gaelic names for birds, the name comes from the call of the bird. As the capercaillie have an unusual call similiar to a horse, it was named the horse of the wood.",capall coille.mp3,Tetrao urogallus,M,capaill-choille,
148,ceàrnan,cockroach,càrnan <em>m</em>,,,carnan.mp3,Dictyoptera spp.,M,"ceàrnain, càrnain",
149,carran,shrimp,cloitheag <em>f</em>,,,,Decapoda (Order) spp.,M,"carrain, cloitheig",
150,cat-fiadhaich,wildcat,fiadh-chat <em>m</em>,,,cat fhiadhaich.mp3,Felis silvestris,M,"cait-fhiadhaich, fiadh-chait",9
151,cathag,jackdaw,,,,,Corvus monedula,F,cathagan,4
152,cathag dhearg-chasach,chough,cathag nan casan dearg <em>f</em>,,The Gaelic name means the red-legged jackdaw. ,cathag dhearg chasach.mp3,Pyrrhocorax pyrrhocorax,F,"cathagan dearg-chasach, cathagan nan casan dearga",4
153,cathan,barnacle goose,leadan <em>m</em>,,,cathan.mp3,Branta leucopsis,M,"cathain, leadain",4
154,lach ceann-molach,tufted duck,"lach an sgùmain <em>f</em>, lach sgumanach <em>f</em>",,,,Aythya fuligula,F,"lachan ceann-molach, lachan an sgùmain, lachan sgumanach",4
155,ceann-dubh,blackcap,ceann-dubhag <em>f</em>,,,ceann dubh 2.mp3,Sylvia atricapilla,M,"cinn-dubha, ceann-dubhagan",
156,faoileag dhubh-cheannach,black-headed gull,ceann-dubhan <em>m</em>,,,,Larus ridibundus,F,"faoileagan dubh-cheannach, cinn-dubhan",4
158,ceann-ruadh,celandine,aonsgoch <em>m</em>,,The Gaelic name means 'red or brown headed'.,ceann ruadh.mp3,Ranunculus ficaria,M,"cinn-ruadh, aonsgochan",8
159,cearc-coille,woodcock (female),,,,cearc coille.mp3,Scolopax rusticola,F,cearcan-coille,4
160,cearc-fhraoich,red grouse (female),eun ruadh (male or female),,,,Lagopus lagopus,F,"cearcan-fraoich, eòin-ruadh",4
161,cearc-thomain,grey partridge,,,,cearc-thomain.mp3,Perdix perdix,F,cearcan-tomain,
162,cearc-uisge,moorhen,,,,,Gallinula chloropus,F,cearcan-uisge,4
163,daolag,beetle,,,,,Coleoptera spp.,F,daolagan,12
164,ceàrd-dubhan,Northern dung beetle,,,,ceard-dubhan.mp3,Aphodius lapponum,M,ceàrd-dubhain,12
167,cearra-ghob,black-tailed godwit,,,,cearr ghobh.mp3,Limosa limosa,M,cearra-ghoban,4
168,ceileiriche-gàraidh,garden warbler,,,,ceileiriche-garaidh.mp3,Sylvia borin,M,ceileirichean-gàraidh,4
169,ceileiriche,grasshopper warbler,,,,ceileiriche.mp3,Locustella naevia,M,ceileirichean,4
170,ceileiriche-coille,wood warbler,,,,ceileiriche coille.mp3,Phylloscopus sibilatrix,M,ceileirichean-coille,4
171,ceòlan-cuilc,reed warbler,cuilceag <em>f</em>,,,ceolan-cuilc.mp3,Acrocephalus scirpaceus,M,"ceòlain-chuilc, cuilceagan",4
172,ceud-chasach,centipede,fiolan-fada <em>m</em>,,Literally hundred-legged,ceud chasach.mp3,Chilopoda (Class) spp.,M,"ceud-chasaich, fiolanan-fada",
173,cìoch na maighdinn-mara,sea anemone,"cìoch na muice mara <em>f</em>, cìochag-thràghad <em>f</em>, anemone na mara <em>m</em>",,,cioch na maighdinn mara.mp3,Actiniaria spp.,F,"cìochan na maighdinn-mara, cìochagan-traghad, cìochan na muice mara, anemondaidhean na mara",12
174,cìrean-coilich,red campion,,,Means 'the cock's comb' as its flower is reminiscent of one,cirean-choilich.mp3,Silene dioica,M,cìrean-coilich,8
175,cloichearan,stonechat,"clacharan <em>m</em>, Fear na Fèill Pàdraig <em>m</em>",,Fear na Feill Padruig - means 'the one of St.Partrick's Day' because he appears about then.,,Saxicola torquata,M,"cloichearain, clacharain, Fir na Fèill Padruig",4
176,gocan,whinchat,"gocan-cònaisg <em>m</em>, ultag <em>f</em>",,,,Saxicola rubetra,M,"gocain, gocain-chonaisg, ultagan",4
178,clamhan,buzzard,,,,clamhan.mp3,Buteo buteo,M,clamhanan,4
179,clamhan riabhach,honey buzzard,,,,clamhan riabhach.mp3,Pernis apivorus,M,clamhain riabhach,4
180,clamhan gobhlach,red kite,preachan nan cearc <em>m</em>,,There is also a Gaelic proverb associated with the kite - 'Cha d' thainig eun glan riamh à nead a' chlamhain' - a clean bird never came from a kite's nest.,clamhan gobhlach.mp3,Milvus milvus,M,"clamhain ghobhlach, preachain nan cearc",4
181,clamhan nan cearc,hen harrier,"brèid air tòin <em>f</em>, clamhan nan luch <em>m</em>",,,clamhan nan cearc.mp3,Circus cyaneus,M,"clamhain nan cearc, brèidean air tòin, clamhain nan luch",4
182,clamhan ruadh,kestrel,speireag ruadh <em>f</em>,,,,Falco tinnunculus,M,"clamhain ruadh, speireagan ruadh",4
184,creithleag,cleg / gadfly,cloitheag <em>f</em>,,,cloitheag.mp3,Tabanidae (Family) spp.,F,"creithleagan, cloitheig",12
185,creithleag nan each,horsefly,,,,cloitheag.mp3,Tabanidae (Family) spp.,F,creithleagan nan each,12
186,cluaran,thistle,fòghnan <em>m</em>,,,cluaran.mp3,Cirsium spp.,M,"cluarain, fòghnain",8
187,bleitheadh,erosion,creimeadh,,,,,,,
188,cnuimh,maggot,gith <em>f</em>,,,,Diptera (Order) spp.,F,"cnuimhean, githean",12
190,co-chomhairleachadh poblach,public consultation,,,,,,M,co-chomhairleachaidhean poblach,
194,coileach-coille,woodcock (male),corman-coillteach <em>m</em>,,,coileach coille.mp3,Scolopax rusticola,M,"coilich-choille, cormain-choillteach",4
195,coileach dubh,black grouse,,,,coileach dubh.mp3,Tetrao tetrix,M,coilch dhubh,4
196,easag,pheasant,easag,,,,Phasianus colchicus,F,easagan,
197,coille beith dhubhach,silver birch wood,,,,coille bheithe.mp3,Betula pendula,F,coilltean beith dhubhach,3
198,Coimisean na Roinn Eòrpa,European Commission,,,,coimisean na roinn eorpa.mp3,,M,,2
199,Coimisean na Croitearachd,Crofting Commission,,,Formerly Crofters' Commission / Coimisean nan Croitearan,,,M,,2
200,coineanach,rabbit,rabaid <em>f</em>,,,,Oryctolagus cuniculus,M,"coineanaich, rabaidean",9
201,còinneach,moss,,,,coinneach.mp3,Bryophyta (Division) spp.,F,còinnich,
203,speach,wasp,connspeach <em>f</em>,,,,Hymenoptera (Order) spp.,F,"speachan, connspeachan",12
204,coirean bàn,white campion,,,The Gaelic name means 'Little White Cauldron' due to the shape of it's flowers.,coirean ban.mp3,Silene latifolia,M,coireanan bàna,8
205,coirean mara,sea campion,"corragan an duine mhairbh <em>f</em>,  òigh a' chladaich <em>f</em>",,Òigh a' chladaich is literally 'mermaid of the shore'.,,Silene uniflora,M,coireanan mara,
207,Colaiste Àiteachais na h-Alba,Scottish Agricultural College,,,,colaisde aiteachais na h-alba.mp3,,F,,2
208,colcach bheag,little auk,,,,colcach-bheag.mp3,Alle alle,F,colcaichean beaga ,4
209,lagùn,lagoon,,,,,,F,lagùnaichean,
210,coltraiche,razorbill,làmhaidh <em>m</em>,,,coltraiche.mp3,Alca torda,M,"coltraichean, làmhaidhean",4
212,Comann Rìoghail Dìon nan Eun,The Royal Society for the Protection of Birds (RSPB),,,,,,M,,2
215,comhachag adharcach,long-eared owl,,,,comhachag adharcach.mp3,Asio otus,F,comhachagan adharcach,4
216,comhachag bhàn,snowy owl,,,,comhachag bhan.mp3,Bubo scandiaca,F,comhachagan bàna,4
217,comhachag bheag,little owl,,,,comhachag bheag.mp3,Athene noctua,F,comhachagan beaga,4
218,comhachag chluasach,short-eared owl,,,,,Asio flammeus,F,comhachagan cluasach,4
219,comhachag,barn owl,sgreuchag-oidhche <em>f</em>,,Sgreuchag-oidhche translates literally as 'night screecher'.,,Tyto alba,F,"comhachagan, sgreuchagan-oidhche",4
224,conasg,gorse / whin,,,Older name 'onn' stands for 'O' in the Gaelic alphabet. ,conasg.mp3,Ulex spp.,M,conaisg,
227,copag,dock,,,Scots term is 'docken'.,copag.mp3,Rumex spp.,F,copagan,
229,mial-choille,woodlouse,"corra-chosag <em>f</em>, sglèatair <em>m</em>",,,corra-chosag.mp3,Isopoda (Order) spp.,F,"mialan-coille, corra-chosagan, sglèatairean",
230,gòbhlag,earwig,fiolan-gòbhlach <em>m</em>,,,,Forficula auricularia,F,"gòbhlagan, fiolanan-gòbhlach",12
233,guilbneach,curlew,"corra-liod, crotach",,,"corra liod.mp3, guilbneach.mp3",Numenius arquata,F,guilbnich,4
234,corra-mhonaidh,crane,,,,corra mhonaidh.mp3,Grus grus,F,corrachan-monaidh,
236,cràdh-ghèadh,shelduck,,,,,Tadorna tadorna,M,cràdh-gheòidh,4
237,crann-lach,teal,lach bheag <em>f</em>,,,crann-lach.mp3,Anas crecca,F,"crann-lachan, lachan bheaga",4
238,craobh-shice,sycamore,"fìor-chrann <em>f</em>, craobh pleantrainn <em>f</em>, sice <em>f</em>",,,craobh-shice.mp3,Acer pseudoplatanus,F,"craobhan-sice, fìor-chrainn, craobhan pleantrainn, sicean",3
239,creamh,garlic,,,,creamh.mp3,Allium spp.,M,creamhan,
241,ròcais,rook,,,,,Corvus frugilegus,F,ròcaisean,
243,crìonag bhuidhe,goldcrest,dreathan a' chinn bhuidhe <em>m</em>,,,crionag-bhuidhe.mp3,Regulus regulus,F,"crìonagan buidhe, dreathain a' chinn bhuidhe",
244,crìonag-ghiuthais,willow warbler,,,,,Phylloscopus trochilus,F,crìonagan-giuthais,4
245,crìon-mhial,slater,sglèatair <em>m</em>,,,,Isopoda (Order) spp.,,"crìon-mhialan, sglèatairean",12
246,crios Chù Chulainn,meadowsweet,lit. Cù Chulainn's belt,,,crois chuchulainn.mp3,Filipendula ulmaria,M,criosan Chù Chulainn,8
247,critheann,aspen,,,Literally means 'shaking'.,critheann.mp3,Populus tremula,M,crithinn,3
249,crom-lus,poppy,,,,crom-lus.mp3,Papaver spp.,M,crom-lusan,8
250,crotal,lichen,,,Colour used for scarlet dye.,crotal.mp3,Lichen,M,crotail,6
252,cuileag,fly,,,,cuileag.mp3,Dipetera (Order) spp.,F,cuileagan,12
253,mialtag,gnat,,,,,Nematocera (Suborder) spp.,F,mialtagan,
254,cuileag mhòr,bluebottle,,,The big fly,cuileag mhor.mp3,Calliphora vomitoria,F,cuileagan mòra,
255,cuileag-shnìomhain,glow-worm,,,,cuileag-shiomhain.mp3,Lampyris noctiluca,F,cuileagan-snìomhain,12
256,cuileag-theallaich,cricket,,,,cuilleag theallaich.mp3,Orthoptera (Order) spp.,F,cuileagan-teallaich,
257,cuileann,holly,,,,cuileann.mp3,Ilex aquifolium,M,cuilinn,3
258,cuileann-tràgha,sea holly,,,,cuileann tragha.mp3,Eryngium maritimum,M,cuilinn-tràgha,
262,cruth-tìre,landscape,"dealbh-tìre <em>m</em>, sealladh-tìre <em>m</em>",,,sealladh tire.mp3,,M,"cruthan-tìre, dealbhan-tìre, seallaidhean-tìre",5
266,caorag lèana,ragged robin,currac-chuthaige,,,currac na cuthaig.mp3,Lychnis flos-cuculi,F,"caoragan lèana, curraicean-cuthaige",
267,curracag,lapwing,"adharcan-luachrach <em>m</em>, doireagan <em>m</em>",,The pronunciation of curracag sounds like the call of the lapwing while another suggestion is that it got it's name from a type of headress worn by women in olden times which the tuft of feathers at the back of it's head resembled. ,curracag.mp3,Vanellus vanellus,F,"curracagan, adharcain-luachrach, doireagain",
268,currac-baintighearna,great tit,,,,currag baintighearna.mp3,Parus major,M,curraicean-baintighearna,4
271,gobhlan-uisge,little grebe,spàg ri tòn <em>f</em>,,,,Tachybaptus ruficollis,M,"gobhlanan-uisge, spàg ri tònan",4
272,cuthag,cuckoo,,,Gaelic saying 'Cuir air ruith na Chuthaige' - send on a fool's errand on 1st of April and also 'Chuala mi a' chuthag gun bhiadh nam bhroinn' - I heard the cuckoo before tasting my food - considered a sign of an unlucky year to follow.,cuthag.mp3,Cuculus canorus,F,cuthagan,
273,dallag ,common shrew,dallag-fheòir <em>f</em>,,lit. little blind one,dallag feoir.mp3,Sorex araneus,F,"dallagan, dallagan-feòir",9
274,dallag-uisge,water shrew,famh-bhual <em>m/f</em>,,The Gaelic name means 'the small blind water one'.,dallag uisge.mp3,Neomys fodiens,F,"dallagan-uisge, famhan-bual",9
275,damh,stag (deer),,,Also used for ox.,damh.mp3,Cervus elaphus,M,daimh,
276,damhan-allaidh,spider,poca-salainn <em>m</em>,,Poca-salainn is literally 'bag of salt'; damhan-allaidh is 'wild little stag'.,damhan allaidh.mp3,Arachnida (Class) spp.,M,"damhain-allaidh, pocannan-salainn",12
277,daol chaoch,stag-beetle,,,,,Lucanus cervus,F,daoil chaoch,12
278,daolag bhreac dhearg,ladybird,daolag-bhreac <em>f</em>,,,,Coccinellidae (Family) spp.,F,"daolagan breaca dearga, daolagan-breaca",
281,darach,oak,,,Older name 'dair' is letter 'd' in Gaelic alphabet.,darach.mp3,Quercus spp.,M,daraich,3
282,cleachdadh seasmhach,sustainable use,,,,,,M,cleachdaidhean seasmhach,
283,deala,leech,criodhair <em>m</em>,,,deala.mp3,Hirudinea (subclass) spp.,F,"dealachan, criodhairean",
284,leòmann a' chàil,large white moth,,,,,Pieris brassicae ,M,leòmainn a' chàil,12
286,leòmann donn,meadow brown moth,,,,,Maniola jurtina,M,leòmainn donn,12
287,deanntag,nettle,feanntag <em>f</em>,,,deanntag.mp3 feanntag.mp3,Urtica dioica,F,"deanntagan, feanntagan",
290,dearc-luachrach mhìn,smooth newt,,,,,Triturus vulgaris,F,dearcan-luachrach mìn,11
291,corcan-coille,bullfinch,"deargan-coille <em>m</em>, buidhean-coille <em>m</em>",,,deargan coille.mp3,Pyrrhula pyrrhula,M,"corcain-choille, dearganan-coille, buidhnein-choille",4
292,lasair-choille,goldfinch,buidheag <em>f</em>,,,,Carduelis carduelis,M,"lasairean-choille, buidheagan",4
293,deargann,flea,deargad <em>f</em>,,,deargann.mp3,Siphonaptera (Order) spp.,F,"deargannan, deargadan",
294,deargan-seilich,redpoll,,,,deargan-seilich.mp3,Carduelis flammea,M,deargannan-seilich,
295,leumadair cliathaich-bhàin,white-sided dolphin,deilf chliathaich-ghil <em>f</em>,,,,Lagenorhynchus acutus,M,"leumadairean cliathaich-bhàin, deilf chliathaich-ghil",9
296,leumadair bàn-ghobach,white-beaked dolphin,"deilf gheal-ghobach <em>f</em>, ",,,,Lagenorhynchus albirostris,M,"leumadairean bàn-ghobach, deilf gheal-ghobach",9
297,leumadair,common dolphin,deilf,,,,Delphinus delphis,M,"leumadairean, deilf",9
298,corra-ghritheach,grey heron,"corra-ghlas, corra-ghritheach ghlas",,,,Ardea cinerea,F,"corrachan-gritheach, corrachan-glasa, corrachan-gritheach glasa",4
303,tuil,flood,dìle <em>f</em>,,This depends on the type of flood. A river which floods and creates areas of still water makes a 'lighe'. The tuil would be a running river in flood.,dile.mp3,,F,"tuiltean, dìleann",
306,seillean-dìomhain,drone-bee,seillean-lunndach <em>m</em>,,,,Apis mellifera,M,"seilleanan-dìomhain, seilleanan-lunndach",12
310,dreathan donn,wren,dreòlan,,,dreathann donn.mp3,Troglodytes troglodytes,M,"dreathain-donna, dreòlain",4
311,smeur,blackberry / bramble,,,The plant is dris or preas nan smeur.,,Rubus fruticosus agg.   ,F,smeuran,8
313,sgitheach,hawthorn,,,The old term for hawthorn 'uath' stands for the letter 'h' in the Gaelic alphabet. ,droigheann.mp3,Crataegus monogyna,M,craobhan-sgithich,3
314,droigheann,thorn,dris <em>f</em>,,,droigheann.mp3,Rubus fruticosus agg.,M,"droighinn, drisean",8
315,droigheann dubh,blackthorn,sgitheach dubh <em>m</em>,,"A Gaelic proverb says: às an dris, anns an droigheann 'out of the bramble into the blackthorn'. It's an equivalent of 'out of the frying pan into the fire.'Traditionally, the leaves were used as a laxative.",droigheann dubh.mp3,Prunus spinosa,M,,8
316,traon,corncrake,"ràc an arbhair <em>m</em>, ràc an t-sìl <em>m</em>",,,,Crex crex,M,"traoin, ràcain an arbhair, ràcain an t-sìl",4
317,druid,starling ,,,,druid.mp3,Sturnus vulgaris,F,druidean,4
318,lon-monaidh,ring ouzel,,,,,Turdus torquatus,M,loin-mhonaidh,4
319,droman,elder,ruis <em>f</em>,,The old name 'ruis' stands for 'r' in traditional Gaelic alphabet.,droman.mp3,Sambucus nigra,M,dromain,3
320,duilleag-bhàthte,waterlily,,,The Gaelic name means 'drowned leaf'.,duilleag bhaite.mp3,Nymphaea alba,F,duilleagan-bàthte,8
321,dùthchasach,native,,,,duthchasach.mp3,,,,
323,gaoth,wind,,,,,,F,gaothan,
324,earb,roe deer,ruadhag <em>f</em>,,,earb.mp3,Capreolus capreolus,F,"earbaichean, ruadhagan",
327,Roinn Seallaidheach Nàiseanta ,National Scenic Area,,,,,,F,Roinnean Seallaidheach Nàiseanta ,
329,lus chasgadh na fala,yarrow,,,,,Achillea millefolium,M,lusan casgadh na fala,8
330,neas bheag,weasel,,,,,Mustela nivalis,F,neasan beaga,9
