,Duanag Aotruim [ Duanag Altrum ],Dean Cadalan Samhach,Flow gently Sweet Afton,,Dean cadalan samhach a chuilain mo ruin,Lullaby | Supernatural,America | Immigration,Four line verse,United States,Male ,[ John ],[ MacRae ],Iain Mac Mhurchidh,18th Century,,North Carolina | Kintail,,Publication,,,,,,Vol. 1. No. 12,Mac-Talla,August 13 1892,4,http://www.smo.uhi.ac.uk/en/rannsachadh/leabharlann/cruinneachadh-didseatach-old/mac-talla-iris-1/,Gnereally considered the first Gaelic song composed in North America` ,In his book| 'We're Indians Sure Enough: The Legancy of the Scottish Highlanders in the United States' (p. 175)| Dr. Michael Newton casts doubts on the common assumption that the poem was composed by Iain Mac Mhurchaidh (John MacRae) of Kintail| and instead suggests an anonymous female composer. His book also contains an alternative version of the song text. ,,
,Anna Bhoidheach,Annie Laurie,,,Tha bruachan Mhacsuel aluinn,Love,Annie Laurie,Eight line verse,Scotland,Unknown,,,,,,,,Publication,,,,,,Vol. 1. No. 13,Mac-Talla,August 20 1892,4,http://www.smo.uhi.ac.uk/en/rannsachadh/leabharlann/cruinneachadh-didseatach-old/mac-talla-iris-1/,Translated from English,Submitted by A. MacLean Sinclair,,
,Cuairt do Eilean a' Cheò,,,,Aon turas eile tha mo chas,Homeland | Praise,Skye,Eight line verse,Scotland,Male ,N.,MacLeoid,,,,,,Publication,,,,,,Vol. 1. No. 14,Mac-Talla,August 27 1892,4,http://www.smo.uhi.ac.uk/en/rannsachadh/leabharlann/cruinneachadh-didseatach-old/mac-talla-iris-1/,,,,
,An Cogadh Ruiseanach,,,,’S an cuala sibhse mar a thachair,Historical,Russia | Soldier | War,Four line verse,Scotland,Male ,Alasdair,Mac 'Ille-Mhaoil,,,,,,Publication,,,,,,Vol. 1. No. 15,Mac-Talla,September 3 1892,1,http://www.smo.uhi.ac.uk/en/rannsachadh/leabharlann/cruinneachadh-didseatach-old/mac-talla-iris-1/,,,,
,Cnoic is Glinn a Bhraighe,Am Braighe,,Na cnoic is glinn ’bu bhoidhche leinn,Cha ’n fheil ait an diugh fo’n ghrein,Homeland | Praise,Margaree,Four line verse / Four line chorus,Nova Scotia,Male ,[ Calum ], [ Mac'Ill'Iosa ],Calum Eòghain 'ic Aonghais 'ic Caluim 'ic Dhòmhnaill 'ic Dhonnchaidh.,1856 - 1929,Southwest Margaree,Inverness,,Publication,,,,,,Vol. 1. No. 17,Mac-Talla,September 17 1892,4,http://www.smo.uhi.ac.uk/en/rannsachadh/leabharlann/cruinneachadh-didseatach-old/mac-talla-iris-1/,Submitted by C.,,,
,An Gleann 's An Robh Mi Og,,,Anns a’ ghleann ’s an robh mi og,’N uair ’philleas ruinn an samhradh,Homeland | Praise,,Eight  line verse / Four line chorus,Scotland,Male ,N.,MacLeoid,,,,,,Publication,,,,,,Vol. 1. No. 24,Mac-Talla,November 5 1892,4,http://www.smo.uhi.ac.uk/en/rannsachadh/leabharlann/cruinneachadh-didseatach-old/mac-talla-iris-1/,,,,
,Do Fheadhainn a Chaidh gu Banais Fhrangach Gun Chuireadh,Bithibh aotrom ’s togibh fonn,,Bithibh aotrom ’s togibh fonn,Dh’fhalbh sibh le maomadh [maoimeadh ] mor,Local events and characters | Humorous,Wedding |  French |  Invitation,Four line verse / Four line chorus,Nova Scotia,Unknown,,,,,,,,Publication,,,,,,Vol. 1. No. 25,Mac-Talla,November 12 1892,3,http://www.smo.uhi.ac.uk/en/rannsachadh/leabharlann/cruinneachadh-didseatach-old/mac-talla-iris-1/,Submitted by R.,,,
,An Tim A Bh' ann O Chian,Auld Lang Syne,,N coir seann luchd-eolis dhol a beachd,Air sgath an tim a bh’ ann a rùin,Love,New Years Eve | Friendship,Four line verse / Four line chorus,Scotland,Male ,[ Robert ], [ Burns ],,1759 - 1796,,,,Publication,,,,,,Vol. 1. No. 30,Mac-Talla,December 17 1892,4,http://www.smo.uhi.ac.uk/en/rannsachadh/leabharlann/cruinneachadh-didseatach-old/mac-talla-iris-1/,Translated from English,Submitted by M. Macrath of Ottawa,,
,Clann Domhnuill,,,Ho i ri ri iu o,Gur a binn leam bhi leubhadh,Praise | Political,Mac-Talla | Clan Donald,Four line verse / Four line chorus,Nova Scotia,Male , [ Alasdair ],[ Dòmhnallach ],Alasdir an Ridge | [ Alasdair mac Ailein 'ic Alasdair 'ic Aonghais ],,Lower South River,Antigonish,1892,Publication,,,,,,Vol. 1. No. 31,Mac-Talla,December 24 1892,2,http://www.smo.uhi.ac.uk/en/rannsachadh/leabharlann/cruinneachadh-didseatach-old/mac-talla-iris-1/,Rinneadh an t-òran so mar fhreagairt do “Òran molaidh Chlainn Leòid” a bha air a thoirt do luchd leubhidh a phàipear so air a mhìos s’a dh’fhalbh. Tha am bàrd dhe’n bharail nach robh Clann Leòid riabh cho cliù-thoillteanaach ri chinneadh fhèin.,,,
,Do 'm Mhathair,Oran na Bliadhna Uire,Ho oh nighean| he o nighean,Ho gur toigh leam| he gur toigh leam,Thoir an t-soraidh so thar chuaintean,Love,Childhood | motherhood,Four line verse / Four line chorus,Nova Scotia,Male ,[ Rev. Malcolm ],[ Campbell ],,,North Shore,Victoria,,Publication,,,,,,Vol. 1 No. 32,Mac-Talla,December 31 1892,2,http://www.smo.uhi.ac.uk/en/rannsachadh/leabharlann/cruinneachadh-didseatach-old/mac-talla-iris-1/,Contributed by C.C. Strath-Alba Dec 24 1892,See notes on song at http://www.canadiancelticarts.ca/Gaelic_News_2013_01_11.pdf  (Page 6) ,,
,A Mhic-Talla Runich,,,,Bliadhn’ eile theich air meadhon oi’ch,Praise,Mac-Talla,Ten line verse,Nova Scotia,Unknown,,,,,,,c. 1892,Publication,,,,,,Vol. 1. No. 33,Mac-Talla,January 7 1893,2,http://www.smo.uhi.ac.uk/en/rannsachadh/leabharlann/cruinneachadh-didseatach-old/mac-talla-iris-1/,Submitted by An Gille Beag,,,
,Cait' An Caidil An Nionag,,,Cait an caidil an ninoag an nochd,Is truagh a righ nach robh mi thall,Love,Catriona nighean Alasdair Pheutain |  Emmigration,Four line verse / Four line chorus,Scotland,Male ,Iain ,Domhnullach,Iain Mac Dhomhnuill Oig Mhic Fhionnlaidh,,Cille-Moire,Isle of Skye,c. 1831,Publication,,,,,,Vol. 1. No. 36,Mac-Talla,January 28 1893,4,http://www.smo.uhi.ac.uk/en/rannsachadh/leabharlann/cruinneachadh-didseatach-old/mac-talla-iris-1/,Submitted by Lag A Mhuilinn,,,
,Cadal Cha Dean Mi,,,Cadal Cha Dean Mi,’S mis’ a thug an gaol,Love,,Six line verse,Scotland,Unknown,,,,,,,,Publication,,,,,,Vol. 1. No. 38,Mac-Talla,February 11 1893,4,http://www.smo.uhi.ac.uk/en/rannsachadh/leabharlann/cruinneachadh-didseatach-old/mac-talla-iris-1/,Submitted by Lag- A- Mhuilinn,,,
,Nighean A Mhorair,,,,An so chan ait do shùgradh fhaoin,Religious | Instructive,,Eight line verse,Scotland,Unknown,,,,,,,,Publication,,,,,,Vol. 1. No. 40,Mac-Talla,February 25 1893,2,http://www.smo.uhi.ac.uk/en/rannsachadh/leabharlann/cruinneachadh-didseatach-old/mac-talla-iris-1/,Submitted by Eobhan MacLaomuinn,,,
,Clarsach an Doire,,,,Bha de sholas dhe gach seors’ ann,Homeland | Praise | Nature,Clarsach an Doire,Eight line verse,Scotland,Male ,Neill,IcLeoid [ MacLeòid ],Am Bard Sgiathanach,,,Isle of Skye,,Publication,,,,,,Vol. 1. No. 40,Mac-Talla,April 1 1893,4,http://www.smo.uhi.ac.uk/en/rannsachadh/leabharlann/cruinneachadh-didseatach-old/mac-talla-iris-1/,,,,
,A Rinn Duine Araid  An  Am Trioblaid,,,,’S trom an luchd ’tha mi giulan air m’ inntinn,Lament,Ill-Health,Eight line verse,Scotland,Unknown,,,,,An Gleann Dubh,Sutherlandshire,,Publication,,,,,,Vol. 1. No. 45,Mac-Talla,April 1 1893,2,http://www.smo.uhi.ac.uk/en/rannsachadh/leabharlann/cruinneachadh-didseatach-old/mac-talla-iris-1/,Transactions Vol. 12 Page 161 presented in talk mentions hearing this in Strathglass in his youth,,,
,Cumha Do Dh' Fhear Fharbrainn,Cumha Do Ruairidh | Fear Farbrainn,,,Is sgith mi ’g amharc an Droma,Elegy | Political,,Eight line verse,Scotland,Unknown,,,,,,,,Publication,,,,,,Vol. 1. No. 47,Mac-Talla,April 15 1893,2,http://www.smo.uhi.ac.uk/en/rannsachadh/leabharlann/cruinneachadh-didseatach-old/mac-talla-iris-1/,Transactions Vol. 15 Page 245 eleven verses and notes on origin of song,,,
,Cumha Do Dh' Fhear Fharbrainn ( Continued ),Cumha Do Ruairidh | Fear Farbrainn,,,’S leat na Gordonich rioghail,Elegy | Political,,Four line verse / Four line chorus,Scotland,Unknown,,,,,,,,Publication,,,,,,Vol. 1. No. 48,Mac-Talla,April 22 1893,3,http://www.smo.uhi.ac.uk/en/rannsachadh/leabharlann/cruinneachadh-didseatach-old/mac-talla-iris-1/,Transactions Vol. 15 Page 245 eleven verses and  notes on origin of song (https://books.google.ca/books?id=kN4p64hA2q4C&pg=PA245&lpg=PA245&dq=Farbrainn&source=bl&ots=zhDXj-dcvY&sig=z23oR6VLJLKUpq_qk9gC4tp859I&hl=en&sa=X&ved=2ahUKEwjWzZ2f45DdAhVn44MKHWFWAxcQ6AEwAHoECAAQAQ#v=onepage&q=Farbrainn&f=false),,,
,Thug mi Gaol Do'n Fhear Bhàn,,,Thug mi gaol| thug mi gaol,Chunnacas soitheach air a chuan,Love,Sailor,Four line verse / Four line chorus,Scotland,Unknown,,,,,,,,Publication,,,,,,Vol. 1. No. 49,Mac-Talla,April 29 1893,3,http://www.smo.uhi.ac.uk/en/rannsachadh/leabharlann/cruinneachadh-didseatach-old/mac-talla-iris-1/,,,,
,E Ho Mighean,,,A ho nighean| e ho nighean,O cha cheilinn| O cha cheilinn,Love,,Four line verse / Four line chorus,Scotland,Unknown,,,,,,,,Publication,,,,,,Vol. 1. No. 50,Mac-Talla,May 6 1893,4,http://www.smo.uhi.ac.uk/en/rannsachadh/leabharlann/cruinneachadh-didseatach-old/mac-talla-iris-1/,,,,
,Gu De 'Ai Mi Mur Faigh Mi Thu,[ Dé ni mi mur faigh mi thu ],,Hilinn o is hilinn i,Tha mi mar smeorich an crann,Love,,Four line verse / Four line chorus,Scotland,Unknown,,,,,,,,Publication,,,,,,Vol. 1. No. 50,Mac-Talla,May 6 1893,4,http://www.smo.uhi.ac.uk/en/rannsachadh/leabharlann/cruinneachadh-didseatach-old/mac-talla-iris-1/,,,,
,Mari Dhubh,Mhairi Dhubh,,Mhairi dhubh| o hu o ho,Latha dhomh ’s mi falbh na sraid,Love,,Four line verse / Four line chorus,Scotland,Unknown,,,,,,,,Publication,,,,,,Vol. 1. No. 51,Mac-Talla,May 13 1893,4,http://www.smo.uhi.ac.uk/en/rannsachadh/leabharlann/cruinneachadh-didseatach-old/mac-talla-iris-1/,,,,
,Huil O Na Bheil Air M' Aire,,,Huil o na bheil air m' Aire,Tha nionagan an ait s’ cho tairail,Love | Dialogue,Courtship,Four line verse / Four line chorus,Scotland,Unknown,,,,,,,,Publication,,,,,,Vol. 1. No. 51,Mac-Talla,May 13 1893,4,http://www.smo.uhi.ac.uk/en/rannsachadh/leabharlann/cruinneachadh-didseatach-old/mac-talla-iris-1/,,,,
,'Ghruagach Air a Bheil Mi  'n Geall,,,’Ghruagach air a bheil mi ’n geall,’Se mo ghaol a ghruagach bhinn,Love,,Four line verse / Four line chorus,Scotland,Unknown,,,,,,,,Publication,,,,,,Vol. 1. No. 53,Mac-Talla,May 27 1893,4,http://www.smo.uhi.ac.uk/en/rannsachadh/leabharlann/cruinneachadh-didseatach-old/mac-talla-iris-1/,,,,
,Ho Ro Eileinich,,,Ho ro Eileinich ho gu,Tha falt mo chinn a dol gu lar,Love | Praise,Glasgow |  Dòmhnall MacLeòid,Four line verse / Four line chorus,Scotland,Unknown,,,,,,,,,,,,,,Vol. 1. No. 53,,May 27 1893,4,,See Transactions of the Gaelic Society of Inverness | Volume 26 | p. 254 included in speech given by A MacLean Sinclair ,"""Bho Shine Nic Leoid""",https://archive.org/details/transactions26gaeluoft/page/254,
,Is Toigh Leam a’ Ghaidhealtachd,,,,Is toigh leam a’ Ghaidhealtachd,Homeland | Praise,Highlands,Eight line verse,Scotland,Male ,Iain,Caimbeul,Bard na Leadaig [ Leideige ],1823 -1897,Benderloch,,,Publication,,,,,,Vol. 1. No. 54,Mac-Talla,June 3 1893,4,http://www.smo.uhi.ac.uk/en/rannsachadh/leabharlann/cruinneachadh-didseatach-old/mac-talla-iris-1/,,,,
,O Tha Mi Sgìth,,,O tha mi sgìth,Chì mi| chì mi bhuam,Love | Lament,Lost love | Currie |  Father forcing marriage to other,Four line verse / Four line chorus,Scotland,Female,,,,,,,,Publication,,,,,,Vol. 1. No. 55,Mac-Talla,June 10 1893,4,http://www.smo.uhi.ac.uk/en/rannsachadh/leabharlann/cruinneachadh-didseatach-old/mac-talla-iris-1/,Also found in The Celtic Magazine| Volume 3 (edited by Alexander MacKenzie| Alexander MacGregor| Alexander MacBain. Page 280. ,"""A reir innse sgeoil bha tuathanach ’sa Ghleann Dubh aig an robh da nighinn. Bha Currie ’s an te a b’oige a dol a phosadh; ach thug a h-athir oirre am “fear ban” a phosadh. Cha robh i fada beo. Dh’eug Currie an uine gle ghoirid as a dheidh. ’Si a phiuthar bu shine a rinn an t-oran. ’Se ’s docha nach d’fhuair sinne e direach mar a chaidh a dheanamh. Faodadh e a bhi gur h-ann tha da oran ",,
,A Mhaighdean Og Nam Meall-Shuilean,,,A mhaighdean og nam meall-shuilean,Cha n-iarrinn stoc no storas leat,Love,,Four line verse / Four line chorus,Scotland,Unknown,,,,,,,,Publication,,,,,,Vol. 1. No. 56,Mac-Talla,June 17 1893,4,http://www.smo.uhi.ac.uk/en/rannsachadh/leabharlann/cruinneachadh-didseatach-old/mac-talla-iris-1/,,,,
,Nighneag Og an Or-fhuilt Dhuinn,,,Nighneag og an or-fhuilt dhuinn,Nuair a thanig mi do 'n aite,Love,,Four line verse / Four line chorus,Scotland,Unknown,,,,,,,,Publication,,,,,,Vol. 1. No. 57,Mac-Talla,June 24 1893,1,http://www.smo.uhi.ac.uk/en/rannsachadh/leabharlann/cruinneachadh-didseatach-old/mac-talla-iris-1/,,,,
,A Duthaich 'Ic Aoidh,,,,Biodh cach a seinn an cuid eallan, Praise,Mac-Talla,Four line verse,United States,Male ,,Mac Aoidh,,,Providence,Rhode Island,,Publication,,,,,,Vol. 1. No. 57,Mac-Talla,June 24 1893,1,http://www.smo.uhi.ac.uk/en/rannsachadh/leabharlann/cruinneachadh-didseatach-old/mac-talla-iris-1/,Poem in praise of Mac-Talla included in letter and payment ,,,
,Mo Dhachaidh,,,Seinn hiribh O| hiuraibh O| hugaibh O hi.,Rachadh treun-fir an cein an deigh sonais 'us gloir,Homeland | Praise,Home | Nature,Four line verse / Four line chorus,Scotland,Male ,[ Malcolm ],[ MacFarlane ],,,,,,Publication,,,,,,Vol. 2. No. 1,Mac-Talla,July 1 1893,7,http://www.smo.uhi.ac.uk/en/rannsachadh/leabharlann/cruinneachadh-didseatach-old/mac-talla-iris-2/,Reprinted from The Celtic Monthly,http://www.ebooksread.com/authors-eng/malcolm-chisholm-macleod/modern-gaelic-bards-hci/page-11-modern-gaelic-bards-hci.shtml,,
,A Fhleasgaich a Eilean an Fheoir,,,A Fhleasgaich a Eilean an Fheoir,Innseam| cuim nach innsinn duibh,Love,Unrequited | Abandonment,Four line verse / Four line chorus,Scotland,Unknown,,,,,,,,Publication,,,,,,Vol. 2. No. 1,Mac-Talla,July 1 1893,8,http://www.smo.uhi.ac.uk/en/rannsachadh/leabharlann/cruinneachadh-didseatach-old/mac-talla-iris-2/,Presented by MacLean Sinclair | printed in transaction 26 |//archive.org/stream/transactions26gaeluoft/transactions26gaeluoft_djvu.txt,,,
,Iain Dubh na h-Uamha,,Tha ghaoth an iar cho caithreamach,,Is oganach deas suairc thu,Praise,Iain Dubh,Four line verse / Woven,Scotland,Unknown,,,,,,,,Publication,,,,,,Vol. 2. No. 2,Mac-Talla,July 8 1893,8,http://www.smo.uhi.ac.uk/en/rannsachadh/leabharlann/cruinneachadh-didseatach-old/mac-talla-iris-2/,,,,
,An Tim a Bh' ann bho Chian,Auld Lang Syne,,Air son na tim a bh' ann bho shean,'M bu choir dean eolas dhol a cuimh',Love,,Four line verse / Four line chorus,Scotland,Male ,[ Robert ],[ Burns ],,,,,,Publication,,,,,,Vol. 2. No. 2,Mac-Talla,July 8 1893,8,http://www.smo.uhi.ac.uk/en/rannsachadh/leabharlann/cruinneachadh-didseatach-old/mac-talla-iris-2/,Submitted by Alasdair an Ridse,Translated from English,,
,Aoir Mhic Talla,,,Bo| bo| Mhic Talla bu mhath thu dhol bh' uainn,Bu mhath leinn do thuineadh,Local events and characters | Satire,Mac-Talla,Four line verse / Three line chorus,Nova Scotia,Male ,[ Alasdair ],[ Dòmhnallach ],Alasdair an Ridge | [ Alasdair mac Ailein 'ic Alasdair 'ic Aonghais ],,Lower South River,Antigonish,1893,Publication,,,,,,Vol. 2. No. 3,Mac-Talla,July 15 1893,6,http://www.smo.uhi.ac.uk/en/rannsachadh/leabharlann/cruinneachadh-didseatach-old/mac-talla-iris-2/,,,,
,Moladh Mhic Talla,,,,Nuair thig thu do 'n bhaile,Local events and characters | Praise,Mac-Talla,Four line verse,Nova Scotia,Male ,[ Alasdair ],[ Dòmhnallach ],Alasdair an Ridge | [ Alasdair mac Ailein 'ic Alasdair 'ic Aonghais ],,Lower South River,Antigonish,1893,Publication,,,,,,Vol. 2. No. 3,Mac-Talla,July 15 1893,6,http://www.smo.uhi.ac.uk/en/rannsachadh/leabharlann/cruinneachadh-didseatach-old/mac-talla-iris-2/,,,,
,Mo Chailin Dileas Donn,,,,Gu ma slan a chi mi,Love,,Eight line verse,Scotland,Unknown,,,,,,,,Publication,,,,,,Vol. 2. No. 3,Mac-Talla,July 15 1893,8,http://www.smo.uhi.ac.uk/en/rannsachadh/leabharlann/cruinneachadh-didseatach-old/mac-talla-iris-2/,,,,
,Maise Nach Searg,,,,Nach maiseach ciuin 'tha 'n ros a' fas,Instructive,Advice | good living,Eight line verse,Unknown,Unknown,,,,,,,,Publication,,,,,,Vol. 2. No. 4,Mac-Talla,July 22 1893,6,http://www.smo.uhi.ac.uk/en/rannsachadh/leabharlann/cruinneachadh-didseatach-old/mac-talla-iris-2/,,,,
,Oran Gaoil,Do Chatriona Nic Aonghais ann a' Muideart,,,' Chatriona bhoidheach gu 'n tug mi speis dhut,Love | Praise,,Four line verse,Scotland,Male ,Aonghas,Ceanadach,,,Moidart,,,Publication,,,,,,Vol. 2. No. 5,Mac-Talla,July 29 1893,7,http://www.smo.uhi.ac.uk/en/rannsachadh/leabharlann/cruinneachadh-didseatach-old/mac-talla-iris-2/,,,,
,Oran do Dh-Ailain Muidertach ,Hi rí him bó,,Ho ri iru o hi-il o ro ho,Chi mi| chi mi| chi mi thallad,Praise,Ailain Muidertach,Two line verse / Three line chorus / Woven song,Scotland,Unknown,,,,,,,,Publication,,,,,,Vol. 2. No. 5,Mac-Talla,July 29 1893,8,http://www.smo.uhi.ac.uk/en/rannsachadh/leabharlann/cruinneachadh-didseatach-old/mac-talla-iris-2/,,,,
,Oran a Mhaorach,,,Horo 's droch obair a maorach,'S droch obair am poll 'ga tharruing a toll,Humorous | Local Events and Characters,Gathering Mussel  mud,Two line verse / Three line chorus,Prince Edward Island,Unknown,[ Murdoch ],[ Lamont ],Murchadh mac Eòghain ’ic Caluim 'ic Mhurchaidh Bhuidhe,,,Prince Edward Island,,Publication,,,,,,Vol. 2. No. 5,Mac-Talla,July 29 1893,8,http://www.smo.uhi.ac.uk/en/rannsachadh/leabharlann/cruinneachadh-didseatach-old/mac-talla-iris-2/,Submitted by D.,See  article by Tiber Falzett | The Island Magazine 2017,https://www.academia.edu/35924235/_Oran_a_Mhaorach_The_Mussel_Mud_Song_By_Rev._Murdoch_Lamont_Murchadh_mac_Eo_ghain_ic_Caluim_ic_Mhurchaidh_Bhuidhe_1865-1927_,
,Tuireadh Nighinn air son a Leannain ann an tir Phictou,,,Thug mi gaol| gaol| gaol,Och is mise tha fo leon!,Lament | Love,Death of a Lover,Four line verse / Four line chorus,Nova Scotia,Male ,D. B.,Blair,,,Pictou,Pictou,,Publication,,,,,,Vol. 2. No. 7,Mac-Talla,August 12 1893,8,http://www.smo.uhi.ac.uk/en/rannsachadh/leabharlann/cruinneachadh-didseatach-old/mac-talla-iris-2/,,,,
,Mar a Bha,Tearlach| an Griogalach | 'Sna Fridhean,Thug mi gaol do 'n fhear bhan,Thug mi gaol do 'n fhear bhan,Dh' fhalbh mi latha na seann bhliadhn' 'uir, Homeland |  Political,Remembering Youth | Community Decline,Four line verse / Four line chorus,Scotland,Female,[ Màiri ],[ Nic A ' Phearsain ],Mairi nighean Iain Bhain [ Mairi Mhòr nan Òran ] ,1821 - 1898,Skye,,,Publication,,,,,,Vol. 2. No. 8,Mac-Talla,August 19 1893,6,http://www.smo.uhi.ac.uk/en/rannsachadh/leabharlann/cruinneachadh-didseatach-old/mac-talla-iris-2/,,,,
,Co Chunna mi Seachad,,,Call uilirinn i,Co chunna mi seachad,Praise | Political,Tighearna Loch-a-buidhe,Four line verse / Four line chorus,Scotland,Unknown,,,,,,,,Publication,,,,,,Vol. 2. No. 8,Mac-Talla,August 19 1893,8,http://www.smo.uhi.ac.uk/en/rannsachadh/leabharlann/cruinneachadh-didseatach-old/mac-talla-iris-2/,,,,
,Oran Gaoil,,,,A chailin sin a's ro ghlan,Love,,Twelve  line verse,Scotland,Unknown,,,,,,,,Publication,,,,,,Vol. 2. No. 8,Mac-Talla,August 19 1893,8,http://www.smo.uhi.ac.uk/en/rannsachadh/leabharlann/cruinneachadh-didseatach-old/mac-talla-iris-2/,,,,
